,Название продукта,Бренд,Срок годности,Количество в упаковке,Единица измерения,Вес упаковки,Цена,Категория,Длина упаковки,Ширина упаковки,Высота упаковки,Обработка названия,Код категории
647,"Country Life, L-лизин, 1000 мг, 250 таблеток",Country Life,2025-11-01,250,шт.,0.51,4532,Аминокислоты,16.5,8.6,8.6,лизин,1
648,"Quantum Health, Super Lysine +, Иммунная поддержка, 180 таблеток",Quantum Health,2026-09-01,180,шт.,0.22,2992,Аминокислоты,6.4,6.4,12.4,super lysine иммунный поддержка,1
649,"Carlson, L-лизин, 500 мг, 300 капсул",Carlson,,300,шт.,0.32,4053,Аминокислоты,15.7,8.0,8.0,лизин,1
650,"Solaray, L-лизин, 985 мг, 90 таблеток (328 мг в 1 таблетке)",Solaray,2027-02-01,90,шт.,0.11,2195,Аминокислоты,5.1,5.1,10.4,лизин,1
651,"Solgar, L-лизин, в свободной форме, 1000 мг, 100 таблеток",Solgar,2026-08-01,100,шт.,0.37,2144,Аминокислоты,6.6,6.6,11.9,лизин свободный форма,1
652,"KAL, L-лизин, 1000 мг, 100 таблеток",KAL,2027-03-01,100,шт.,0.2,2915,Аминокислоты,13.5,7.1,7.1,лизин,1
653,"NOW Foods, чистый L-лизин в порошке, 454 г (1 фунт)",NOW Foods,2027-09-01,454,г,0.54,2715,Аминокислоты,17.3,10.7,10.7,чистый лизин порошок,1
654,"Nutricost, L-лизин, без добавок, 500 г (17,6 унции)",Nutricost,2026-11-01,504,г,0.61,2909,Аминокислоты,20.8,13.7,11.2,лизин добавка,1
655,"Carlson, L-лизин, 500 мг, 100 капсул",Carlson,2025-11-01,100,шт.,0.11,1659,Аминокислоты,11.2,5.8,5.7,лизин,1
656,"Solaray, L-лизин и монолаурин, в соотношении 1:1, 60 вегетарианских капсул",Solaray,2027-05-01,60,шт.,0.07,2444,Аминокислоты,10.7,5.1,5.1,лизин монолаурин соотношение,1
657,"Source Naturals, L-лизин, 1000 мг, 200 таблеток",Source Naturals,2027-05-01,200,шт.,0.36,3084,Аминокислоты,7.6,7.6,14.2,лизин,1
658,"Nutricost, L-лизин, 1000 мг, 240 таблеток",Nutricost,2026-10-01,240,шт.,0.46,3059,Аминокислоты,16.5,8.8,8.6,лизин,1
659,"21st Century, L-лизин, 1000 мг, 90 таблеток",21st Century,2026-12-01,90,шт.,0.18,1080,Аминокислоты,14.7,6.2,4.7,лизин,1
660,"Natural Factors, L-лизин, 500 мг, 180 растительных капсул (250 мг)",Natural Factors,2027-12-01,180,шт.,0.2,2712,Аминокислоты,12.3,7.7,7.7,лизин,1
661,"Solgar, L-лизин, в свободной форме, 500 мг, 250 вегетарианских капсул",Solgar,2026-05-01,250,шт.,0.5,3964,Аминокислоты,8.1,8.1,14.5,лизин свободный форма,1
662,"Solaray, L-лизин, 500 мг, 120 растительных капсул",Solaray,2027-03-01,120,шт.,0.15,2279,Аминокислоты,6.4,6.2,11.4,лизин,1
663,"Nutricost, L-лизин, 1000 мг, 120 таблеток",Nutricost,2026-10-01,120,шт.,0.25,1940,Аминокислоты,13.5,7.2,7.1,лизин,1
664,"Nature's Life, L-лизин, 500 мг, 250 растительных капсул",Nature's Life,2027-01-01,250,шт.,0.27,3960,Аминокислоты,16.1,10.0,8.0,лизин,1
665,"Amazing Nutrition, L-лизин, 1000 мг, 180 таблеток",Amazing Nutrition,2026-10-01,180,шт.,0.34,2477,Аминокислоты,13.2,7.1,4.8,лизин,1
666,"Swanson, L-лизин`` 90 растительных капсул",Swanson,2024-12-01,90,шт.,0.13,1303,Аминокислоты,11.0,5.8,5.7,,1
667,"Solaray, L-лизин с бета-глюканом, 1000 мг, 60 растительных капсул (500 мг в 1 капсуле)",Solaray,2027-05-01,60,шт.,0.07,2279,Аминокислоты,10.8,4.8,5.0,лизин бета глюкан,1
668,"Swanson, L-лизин, 500 мг, 300 капсул",Swanson,2025-05-01,300,шт.,0.31,2762,Аминокислоты,15.6,8.1,8.0,лизин,1
669,"Solgar, L-лизин, в свободной форме, 1000 мг, 250 таблеток",Solgar,2026-03-01,250,шт.,0.7,3964,Аминокислоты,8.6,8.6,15.2,лизин свободный форма,1
670,"Nature's Craft, L-лизин, 1000 мг, 240 таблеток (500 мг в 1 таблетке)",Nature's Craft,2025-02-01,240,шт.,0.23,3489,Аминокислоты,12.1,6.9,6.7,лизин,1
671,"Swanson, L-лизин, 500 мг, 100 капсул",Swanson,2025-10-01,100,шт.,0.12,1113,Аминокислоты,11.0,5.7,5.8,лизин,1
672,"Country Life, жевательный L-лизин с витамином D, бузиной, с насыщенным вкусом апельсина, 600 мг, 60 жевательных таблеток (300 мг в одной таблетке)",Country Life,2026-01-01,60,шт.,0.27,2681,Аминокислоты,11.0,6.1,6.0,жевательный лизин витамин бузина насыщенный вкус апельсин,1
673,"Thorne, L-лизин, 60 капсул",Thorne,2026-09-01,60,шт.,0.07,2281,Аминокислоты,9.4,5.2,5.2,лизин,1
674,"California Gold Nutrition, L-лизин, 500 мг, 60 растительных капсул",California Gold Nutrition,2025-06-01,60,шт.,0.07,1586,Аминокислоты,14.1,9.7,5.2,лизин,1
675,"MaryRuth's, Snickerdoodle, липосомальный лизин, 225 мл (7,6 жидк. унции)",MaryRuth's,2025-05-01,225,мл,0.29,5095,Аминокислоты,15.7,5.3,5.3,snickerdoodle липосомальный лизин,1
676,"Amazing Nutrition, L-лизин, 500 мг, 250 капсул",Amazing Nutrition,2026-03-01,250,шт.,0.2,2296,Аминокислоты,13.1,7.4,7.2,лизин,1
677,"Nature's Life, L-Lysine в порошке, без вкусовых добавок, 200 г",Nature's Life,2026-07-01,200,г,0.25,2110,Аминокислоты,9.1,9.1,9.1,lysine порошок вкусовой добавка,1
678,"Source Naturals, L-лизин, 1000 мг, 100 таблеток",Source Naturals,2027-05-01,100,шт.,0.2,1776,Аминокислоты,12.7,6.4,6.4,лизин,1
679,"Source Naturals, L-лизин в порошке, 100 г (3,53 унции)",Source Naturals,2025-05-01,100,г,0.14,993,Аминокислоты,6.1,6.1,11.2,лизин порошок,1
680,"Nature's Truth, L-лизин, 1000 мг, 100 капсул, покрытых оболочкой",Nature's Truth,2025-11-01,100,шт.,0.23,2402,Аминокислоты,11.6,6.4,6.2,лизин капсула,1
681,"Zahler, L-лизин, свободная форма, 500 мг, 60 капсул",Zahler,2025-03-01,60,шт.,0.07,1891,Аминокислоты,10.9,5.7,5.6,лизин свободный форма,1
682,"Mason Natural, L-лизин, 500 мг, 100 таблеток",Mason Natural,2026-05-01,100,шт.,0.14,1014,Аминокислоты,11.0,5.7,5.7,лизин,1
683,"KAL, Ultra Lysine Lips, 60 таблеток",KAL,2027-03-01,60,шт.,0.14,2762,Аминокислоты,11.6,6.4,6.2,ultra lysine lips,1
684,"Quantum Health, Super Lysine+, иммунная поддержка, 90 таблеток",Quantum Health,2026-11-01,90,шт.,0.11,1761,Аминокислоты,5.6,5.6,9.9,super lysine иммунный поддержка,1
685,"Quantum Health, Супер Иммун+, мощная вегетарианская формула продукт, 90 капсул",Quantum Health,2025-05-01,90,шт.,0.11,2568,Аминокислоты,6.1,6.1,10.9,супер иммуна+ мощный вегетарианский формула продукт,1
686,"Nutricology, L-метионин, 100 вегетарианских капсул",Nutricology,2026-07-01,100,шт.,0.11,4649,Аминокислоты,6.1,6.1,11.2,метионин,1
687,"Solgar, L-метионин, 500 мг, 90 растительных капсул",Solgar,,90,шт.,0.2,3065,Аминокислоты,5.6,5.6,10.2,метионин,1
688,"Swanson, L-метионин, 500 мг, 30 капсул",Swanson,2025-12-01,30,шт.,0.04,701,Аминокислоты,8.8,4.7,4.6,метионин,1
689,"Solaray, L-метионин, 500 мг, 30 растительных капсул",Solaray,2027-07-01,30,шт.,0.05,1208,Аминокислоты,10.9,5.0,5.0,метионин,1
690,"Source Naturals, L-Метионин 3.53 унции (100 г)",Source Naturals,,100,г,0.14,2906,Аминокислоты,11.2,6.0,6.0,,1
691,"NOW Foods, L-метионин, 500 мг, 100 капсул",NOW Foods,2029-01-01,100,шт.,0.09,2319,Аминокислоты,11.2,6.1,6.1,метионин,1
692,"NOW Foods, Sports, L-орнитин в виде порошка, 227 г (8 унций)",NOW Foods,2026-08-01,227,г,0.29,5005,Аминокислоты,7.9,7.9,13.5,sports орнитин вид порошок,1
693,"NOW Foods, L-орнитин, 500 мг, 120 вегетарианских капсул",NOW Foods,2027-08-01,120,шт.,0.14,2903,Аминокислоты,11.4,6.4,6.4,орнитин,1
694,"Swanson, L-орнитин, свободная форма, 500 мг, 60 растительных капсул",Swanson,2025-12-01,60,шт.,0.07,1265,Аминокислоты,10.5,5.0,5.0,орнитин свободный форма,1
695,"NOW Foods, L-пролин, 500 мг, 120 растительных капсул",NOW Foods,2026-10-01,120,шт.,0.11,2217,Аминокислоты,11.2,6.1,6.1,пролин,1
696,"Carlson, Pro-Rite, L-пролин и L-лизин в свободной форме, 200 вегетарианских капсул",Carlson,2026-11-01,200,шт.,0.2,5729,Аминокислоты,13.1,7.2,7.2,pro rite пролин лизин свободный форма,1
697,"Swanson, L-пролин, 500 мг, 100 капсул",Swanson,2025-04-01,100,шт.,0.11,2279,Аминокислоты,11.0,5.7,5.8,пролин,1
698,"Nutricost, L-пролин, 1000 мг, 180 капсул (500 мг в 1 капсуле)",Nutricost,2026-08-01,180,шт.,0.16,2756,Аминокислоты,11.7,10.2,6.2,пролин,1
699,"Nutricost, L-пролин, без добавок, 250 г (8,8 унции)",Nutricost,2027-02-01,250,г,0.32,3204,Аминокислоты,14.9,9.3,9.1,пролин добавка,1
700,"Carlson, Pro-Rite, 90 вегетарианских капсул",Carlson,2026-11-01,90,шт.,0.09,2927,Аминокислоты,11.2,5.8,5.7,pro rite,1
701,"Source Naturals, L-пролин в порошке, 113,4 г (4 унции)",Source Naturals,,113,г,0.16,1894,Аминокислоты,6.6,6.6,13.0,пролин порошок,1
702,"California Gold Nutrition, L-серин в порошке, аминокислота AjiPure, с нейтральным вкусом, 454 г (1 фунт)",California Gold Nutrition,2026-08-01,454,г,0.52,8911,Аминокислоты,11.4,9.4,9.3,серин порошок аминокислота ajipure нейтральный вкус,1
703,"Nutricost, L-серин, 500 мг, 120 капсул",Nutricost,2026-12-01,120,шт.,0.11,2599,Аминокислоты,11.0,6.0,6.0,серин,1
704,"Nutricost, L-серин в порошке, без добавок, 227 г (8 унций)",Nutricost,2026-08-01,227,г,0.29,3881,Аминокислоты,9.3,9.1,9.1,серин порошок добавка,1
705,"Lake Avenue Nutrition, L-серин, 900 мг, 120 растительных капсул",Lake Avenue Nutrition,2025-09-01,120,шт.,0.16,2618,Аминокислоты,12.1,6.4,6.2,серин,1
706,"Swanson, L-серин, 500 мг, 60 растительных капсул",Swanson,2026-01-01,60,шт.,0.08,2329,Аминокислоты,8.9,4.8,4.6,серин,1
707,"Lake Avenue Nutrition, L-серин, порошок с нейтральным вкусом, 454 г (1 фунт)",Lake Avenue Nutrition,2026-08-01,454,г,0.52,7811,Аминокислоты,11.6,9.4,9.3,серин порошок нейтральный вкус,1
708,"Bluebonnet Nutrition, таурин, 1000 мг, 50 растительных капсул",Bluebonnet Nutrition,2026-11-01,50,шт.,0.18,2536,Аминокислоты,10.3,5.6,5.5,таурин,1
709,"Primaforce, Порошок из чистого таурина, без добавок, 250 г (8,8 унции)",Primaforce,2026-07-01,250,г,0.32,2444,Аминокислоты,11.6,9.1,9.1,порошок чистый таурин добавка,1
710,"Swanson, таурин, 500 мг, 100 капсул",Swanson,2025-11-01,100,шт.,0.12,1208,Аминокислоты,11.0,5.8,5.7,таурин,1
711,"Hi Tech Pharmaceuticals, таурин 750, 750 мг, 120 капсул",Hi Tech Pharmaceuticals,2028-07-01,120,шт.,0.16,2272,Аминокислоты,11.3,8.4,6.4,таурин,1
712,"Carlson, Таурин, 1000 мг, 300 капсул",Carlson,,300,шт.,0.43,5998,Аминокислоты,15.7,8.0,7.9,таурин,1
713,"Amazing Nutrition, таурин, 1000 мг, 100 капсул",Amazing Nutrition,2026-06-01,100,шт.,0.14,2110,Аминокислоты,11.2,5.8,5.8,таурин,1
714,"Solgar, Таурин, 500 мг, 100 растительных капсул",Solgar,,100,шт.,0.2,2050,Аминокислоты,10.2,5.6,5.6,таурин,1
715,"Nature's Truth, витамины, таурин, 1500 мг, 90 капсул с быстрым высвобождением (500 мг в 1 капсуле)",Nature's Truth,2026-08-01,90,шт.,0.09,2302,Аминокислоты,10.9,5.1,5.0,витамин таурин,1
716,"Protocol for Life Balance, Таурин, 1000 мг, 100 растительных капсул",Protocol for Life Balance,2027-11-01,100,шт.,0.16,2607,Аминокислоты,11.2,6.4,6.4,таурин,1
717,"Force Factor, L-таурин, 500 мг, 180 растительных капсул",Force Factor,2026-09-01,180,шт.,0.18,1957,Аминокислоты,12.1,6.9,6.9,таурин,1
718,"Kroeger Herb Co, Sunny Day, таурин-дофил, 100 таблеток",Kroeger Herb Co,2026-08-01,100,шт.,0.09,3152,Аминокислоты,10.5,5.0,5.0,sunny day таурин дофил,1
719,"Swanson, Таурин, 1000 мг, 60 растительных капсул",Swanson,2025-08-01,60,шт.,0.1,2279,Аминокислоты,10.5,5.0,4.8,таурин,1
